Unit: TOE (Tonne of Oil Equivalent);Gasoline;Gasoil;Fuel Oil;Jet A1;LPG;Kerosene;Avgas;Fuelwood & charcoal;Solar PV;Solar Thermal;Wind;Electricity;Solar Water Heater
Residential;;;;;3946.0168762900016;3.845736433;;58.05405955078947;;;;11932.101734000002;74.36775439250174
Service;455.28734865;3691.7702036549886;;;1107.1678785640015;5.6644000000000005;;;;;;22840.517989313554;
Industry;23.725645000000004;2560.690395;4275.184799999999;;288.44316041999997;4.2336;;;;;;5432.210942234949;
Road Transportation;21143.097433480812;11470.350147956417;;;;;;;;;;0.0;
Domestic Air Transportation;;;;1869.9154639200003;;;93.9995856;;;;;0.0;
Maritime Transportation;1046.495417;2305.974002175;;;;;;;;;;0.0;
Artisanal Fishing;;2194.899192129285;;;;;;;;;;;
Fuel non-consumed but Stocked by Consumers;;;Petroleum Stat-2021'!W44+D15;;;;;;;;;;
TOTAL FINAL ENERGY CONSUMPTION;22668.605844130812;22223.68394091569;4275.184799999999;1869.9154639200003;5341.627915274003;13.743736432999999;93.9995856;58.05405955078947;0.0;0.0;0.0;40204.8306655485;74.36775439250174
Statistical Difference;2516.1627217384885;-3086.417457424832;-5705.876547551987;-462.53023771770745;-188.78717425400282;9.20593492699999;0.989193599999993;0.0;0.0;0.0;0.0;1017.4996259999971;0.0
Statistical Difference in %;0.09990811371395417;-0.1612778637997956;3.9881942125654497;-0.3286450853017729;-0.036637494489424605;;0.010413794222128429;0.0;;;;0.024683214626723987;0.0
